,MES,PESO SIMULADO
0,7,151.37875163593
1,7,174.87082141758998
2,7,183.66039022166
3,7,190.14134441746003
4,7,163.44818802643
5,7,168.00241690251002
6,7,243.49127561253997
7,7,100.47097738543002
8,7,250.36348572726
9,7,187.17462760048
10,7,209.30203137428
11,7,120.31690653543001
12,7,156.19284555555
13,7,166.61265693023998
14,7,190.01870408676004
15,7,120.11529669179
16,7,191.65258650229998
17,7,135.39090353087
18,7,178.11074761737999
19,7,197.68868668128997
20,7,186.82380290371003
21,7,212.05995904151
22,7,209.50297550136003
23,7,154.15968159764
24,7,184.48567565828998
25,7,144.3577812661
26,7,131.75226338549
27,7,206.78918617869
28,7,175.90166495910998
29,7,174.06570825204
30,7,206.33165067284
31,7,195.75909549346
32,7,187.59671920741002
33,7,217.65839102539
34,7,206.95496791583
35,7,183.90809278576
36,7,152.84193915609
37,7,154.13810836553998
38,7,215.71620247573998
39,7,122.06486501816002
40,7,175.08297131636002
41,7,110.80850429158001
42,7,209.98463368272
43,7,204.68132449994
44,7,175.93881358835
45,7,173.53403708044
46,7,92.858117048511
47,7,195.31115557737
48,7,102.67267367314001
49,7,98.436037758114
50,8,154.77674441416
51,8,184.98322682529
52,8,143.52684289994
53,8,146.75662619827
54,8,182.28013656788002
55,8,231.69743289593998
56,8,157.79372416851
57,8,194.42125988959998
58,8,175.25874068708998
59,8,218.36713205593998
60,8,147.54103612882
61,8,183.5450945997
62,8,200.2361173777
63,8,217.82958799397
64,8,232.06920184567997
65,8,185.25838937493
66,8,134.61995102853
67,8,158.67211102396
68,8,148.42322636043002
69,8,257.94967689047
70,8,162.7391796
71,8,206.513264757
72,8,176.32336581
73,8,211.024394656
74,8,157.948339506
75,8,137.48716608423
76,8,136.84173280456002
77,8,198.1710245065
78,8,176.80625747253998
79,8,176.20668304138002
80,8,228.05985583563
81,8,191.85985840489
82,8,188.84973481621003
83,8,233.46514078817
84,8,156.67664280118
85,8,204.86164374876998
86,8,209.30633009883
87,8,174.67674399387002
88,8,189.42300977356004
89,8,145.07640979943
90,8,145.65071579735002
91,8,185.86647838413003
92,8,205.68435443442002
93,8,265.49426920898
94,8,161.09280947049
95,8,188.51332588897998
96,8,179.85192894558998
97,8,120.44996433698
98,8,168.40918645869
99,8,124.89080918929
100,12,269.4952581549
101,12,241.83137163723998
102,12,186.90634929026
103,12,136.25348177125
104,12,317.98621024836
105,12,195.81530759679
106,12,230.92664222661
107,12,253.73308097523997
108,12,231.43441103801
109,12,180.92557984522
110,12,202.60135671038998
111,12,219.60545861773
112,12,299.15634117860003
113,12,183.10354177564997
114,12,264.71955597747996
115,12,241.10770774145
116,12,214.20054191038997
117,12,173.37415180038002
118,12,211.70660865054
119,12,221.50016199002002
120,12,152.91800430548
121,12,235.33223934558998
122,12,185.01425349601
123,12,221.12566683720001
124,12,242.47618171132999
125,12,180.92915866136002
126,12,211.50248448419998
127,12,243.16311277369
128,12,134.74138653179
129,12,277.18440504898
130,12,346.05327278899
131,12,273.38626526663995
132,12,210.13770904753002
133,12,247.05968492102997
134,12,174.41515498573997
135,12,318.94212684059
136,12,272.45893840627
137,12,264.85235068479
138,12,182.35663660695
139,12,241.66947706535998
140,12,198.1086034714
141,12,210.35310084007
142,12,197.52750813455
143,12,174.92361266481998
144,12,180.72621889103002
145,12,215.38909223084
146,12,141.53634142504
147,12,255.93698856196
148,12,219.95720485231004
149,12,260.47835254875
150,15,283.49125092226
151,15,297.39636872797996
152,15,174.99480870626
153,15,203.64563452621996
154,15,239.13100883491
155,15,273.58786680317996
156,15,336.66878638055
157,15,248.85128777447997
158,15,344.88998945294
159,15,296.22879584468
160,15,339.47782691746005
161,15,274.6580235119
162,15,226.14309399811
163,15,175.10139746926998
164,15,276.42476884645
165,15,317.46832971145
166,15,248.68879470135
167,15,233.32532081936
168,15,247.69507163416
169,15,198.92087463557
170,15,236.28269243191002
171,15,255.61223383791
172,15,269.63756444367993
173,15,262.85182487062
174,15,304.64164851264
175,15,273.56676524466
176,15,379.08755637235
177,15,286.11427497358
178,15,378.49816446973
179,15,222.03878041459
180,15,299.3932616367
181,15,250.69047166039
182,15,303.94882129525
183,15,303.56431625066
184,15,131.48526217088002
185,15,184.65602904468997
186,15,177.60125830615002
187,15,291.67417436676004
188,15,357.80545928452005
189,15,246.57019923815
190,15,317.08279398727
191,15,300.56893240827003
192,15,201.70396004066
193,15,291.40320703973
194,15,220.25771567559
195,15,360.65692090237997
196,15,264.78413308086004
197,15,368.06837878553
198,15,240.48887943124
199,15,303.28592539986
200,18,336.02391752858
201,18,202.60459686347
202,18,273.41684309445
203,18,382.01201940517
204,18,336.56225454777
205,18,264.11435063297
206,18,297.64362150315
207,18,357.29215813233003
208,18,272.67540565397
209,18,406.69411030964994
210,18,296.66768259196
211,18,463.4835444573599
212,18,266.76110832468
213,18,353.86480114152
214,18,236.71809114352996
215,18,291.02072036781004
216,18,299.89965354776
217,18,367.63100474166
218,18,404.45927904004
219,18,360.76309439327
220,18,314.89388814723
221,18,395.8347674011
222,18,394.70420416587007
223,18,348.48597970123
224,18,379.20196358355
225,18,368.4114083022
226,18,273.08789574376
227,18,392.02660299480004
228,18,295.5445915314
229,18,299.17315141828
230,18,352.35007860062996
231,18,319.35901370235
232,18,331.32303396643
233,18,380.84385759151
234,18,411.58931261118994
235,18,326.81901711912997
236,18,362.61488296208
237,18,324.07166753744
238,18,355.9355484283
239,18,370.26385731842004
240,18,298.29143024264
241,18,359.01638518868
242,18,381.23504841109
243,18,346.58617147937
244,18,458.10219876608
245,18,298.85723801332
246,18,290.10622954738
247,18,221.133219235
248,18,402.30386367397006
249,18,399.34832185570997
