,MES,PESO SIMULADO
1050,11,172.41551501307998
1051,11,189.37202718257998
1052,11,207.51672923181
1053,11,193.93627332607
1054,11,193.78562389326
1055,11,185.02106644424
1056,11,185.91710828288998
1057,11,186.68182985709998
1058,11,139.12595847552
1059,11,195.43737410544
1060,11,205.96795977278
1061,11,165.60975545574
1062,11,161.65247809366002
1063,11,199.45463946719
1064,11,161.90730159842
1065,11,158.87534627937
1066,11,202.41754018088002
1067,11,176.95845916016998
1068,11,210.46008910198998
1069,11,165.70445566886002
1070,11,177.66282236529997
1071,11,192.76350352830002
1072,11,198.19051897057
1073,11,196.74906936181
1074,11,191.87730153308
1075,11,184.44624058028
1076,11,178.28261494376
1077,11,196.97568796522
1078,11,181.67627219746998
1079,11,195.93729814976
1080,11,207.68713128694
1081,11,148.82178531145001
1082,11,220.33102966200002
1083,11,177.35045490682
1084,11,211.72232277495
1085,11,215.87008391176997
1086,11,162.58846105414
1087,11,191.62119260137
1088,11,249.64482488987002
1089,11,184.71398458079
1090,11,197.07802441872
1091,11,194.33681351543999
1092,11,210.86579270759998
1093,11,207.73667058581
1094,11,171.80461123368
1095,11,180.76487510671
1096,11,194.55441265876
1097,11,187.46976434246002
1098,11,233.21695349165
1099,11,196.23770552209
1100,14,245.17597634791
1101,14,219.88888501544
1102,14,210.57222312423
1103,14,252.24785004681
1104,14,232.58825905529
1105,14,249.37270034633
1106,14,220.01186518307003
1107,14,254.26676900982002
1108,14,200.53856428291002
1109,14,267.56733289179
1110,14,253.2861081782
1111,14,238.68437040294998
1112,14,213.47535669151
1113,14,228.6168670182
1114,14,241.54265618793
1115,14,260.45046451735
1116,14,216.00486982016002
1117,14,262.18276013749
1118,14,291.39187975117994
1119,14,226.67726602755002
1120,14,245.79562034929
1121,14,223.4658027277
1122,14,202.4527378857
1123,14,265.66039383442995
1124,14,250.26474197686
1125,14,226.37287875424
1126,14,238.74847181125
1127,14,231.94292426182002
1128,14,207.51383778242
1129,14,179.343274345
1130,14,235.55871734268996
1131,14,227.32930020432002
1132,14,225.06511190707997
1133,14,219.72444743106
1134,14,200.46421975539
1135,14,226.15408191573997
1136,14,239.70127346168
1137,14,215.44429035137
1138,14,245.43329084875
1139,14,231.09041420797
1140,14,234.48816022492997
1141,14,208.16082905257
1142,14,221.34176083075002
1143,14,244.63302748387997
1144,14,220.83563358613
1145,14,239.70526427538996
1146,14,275.72183626772005
1147,14,252.27013325355
1148,14,257.07098231875
1149,14,283.30534320482997
1150,16,317.32605510167997
1151,16,306.39223039148
1152,16,328.23455695785
1153,16,288.08053151928
1154,16,291.20894018657003
1155,16,329.17717956854
1156,16,307.18806508776004
1157,16,300.20801523174
1158,16,307.24183229764
1159,16,297.0861334474
1160,16,296.69468882822997
1161,16,295.36161810111
1162,16,293.01085936212
1163,16,287.53118532627997
1164,16,299.95853455196
1165,16,292.71993213231
1166,16,321.07248551001
1167,16,304.11150582058997
1168,16,315.16055429877
1169,16,298.83398270683
1170,16,299.65339149099
1171,16,318.49094933252996
1172,16,321.44758806806
1173,16,301.26314843591
1174,16,324.59624272285
1175,16,307.48874353094
1176,16,305.98153487095
1177,16,331.61953018272004
1178,16,322.39173257434
1179,16,313.55607862744
1180,16,306.45576972792
1181,16,293.2303490664
1182,16,299.18007023442
1183,16,326.41732077756
1184,16,272.37761638767
1185,16,291.84409690223
1186,16,298.14542666831
1187,16,302.88474708974
1188,16,275.71864658186
1189,16,308.23868972419996
1190,16,311.06002997232
1191,16,287.58170297701
1192,16,297.15442548868
1193,16,283.73755963997996
1194,16,323.64116831567003
1195,16,306.05158446056
1196,16,297.27246136662
1197,16,287.78809002478
1198,16,302.18716423308996
1199,16,324.48097455113
1200,18,327.02160532174
1201,18,328.33172868008
1202,18,302.24569429482
1203,18,325.18930046822004
1204,18,335.43175601622
1205,18,299.20569958279
1206,18,341.34380475058
1207,18,363.79473063271
1208,18,296.24256990279997
1209,18,287.70098309852995
1210,18,321.18106840661
1211,18,335.14548108106004
1212,18,321.02885894770003
1213,18,319.73923345009
1214,18,322.50910203285997
1215,18,304.52523501055
1216,18,294.79866591677995
1217,18,348.95422161217004
1218,18,327.31299141656
1219,18,302.46005196997004
1220,18,340.46497780694
1221,18,300.61713081472
1222,18,320.35547784114
1223,18,334.83755413777
1224,18,308.2843510658
1225,18,316.53238520544
1226,18,322.89752055337004
1227,18,355.18035040117996
1228,18,330.10700510129
1229,18,315.69555268744
1230,18,318.61579183821
1231,18,317.69404938916
1232,18,344.33990540569
1233,18,317.62534148558
1234,18,309.10718087564
1235,18,326.43999113367
1236,18,320.81089393141
1237,18,335.71841024038997
1238,18,338.50898968289
1239,18,340.65245632281
1240,18,333.26596271889
1241,18,333.0205173568
1242,18,354.35600945749
1243,18,302.92317122989
1244,18,316.56867747556
1245,18,293.93986440198995
1246,18,337.83649193122
1247,18,322.76150913099997
1248,18,317.37407579646
1249,18,293.50414398887995
1250,20,358.71076749232003
1251,20,349.26250743416
1252,20,325.91589966107
1253,20,330.12333654913
1254,20,338.55445080939
1255,20,349.46361280144
1256,20,319.64837102011
1257,20,350.91996003981
1258,20,367.92645173763003
1259,20,346.76930454511
1260,20,339.91788805243
1261,20,361.28389020824
1262,20,378.27502387483
1263,20,345.27831805747
1264,20,344.84969485626
1265,20,324.18830378652
1266,20,333.95509256569
1267,20,367.71767286166
